aid,fname,lname,birth_date,birth_country,birth_city,overall_rating,gender,description
nm0000203,River,Phoenix,08/23/1970,USA,Oregon,0,0,"River Phoenix was born River Jude Bottom in Madras, Oregon. His mother, Arlyn (Dunetz), a Bronx-born secretary, and his father, John Bottom, a carpenter, met in California in 1968. They worked as itinerant fruit pickers, and later joined the Children of God religious group (John was originally Catholic, while Arlyn was born Jewish). By the time River was two, they were living in South America, where John was the sect's Archbishop of Venezuela. They later left the group and, in 1977, moved back to the United States, changing their last name to ""Phoenix"". They lived with River's maternal grandparents in Florida, and later moved to Los Angeles. His parents encouraged all of their children to get into movies and, by age ten, River was acting professionally on TV. His film debut was in"
nm0001847,Richard,Widmark,12/26/1914,USA,Minnesota,0,0,Richard Widmark established himself as an icon of American cinema with his debut in the 1947 film noir
nm0002076,Jason,Flemyng,09/25/1966,UK,England,0,0,"Jason Flemyng was born on September 25, 1966 in Putney, London, England. He is an actor and producer, known for"
nm0000209,Tim,Robbins,10/16/1958,USA,California,0,0,"Born in West Covina, California, but raised in New York City, Tim Robbins is the son of former"
nm0593775,Thomas,Mitchell,07/11/1892,USA,New Jersey,0,0,"Thomas Mitchell was one of the great American character actors, whose credits read like a list of the greatest American films of the 20th century:"
nm0803705,Victor,Sjöström,09/20/1879,Sweden,Värmlands län,0,0,"Victor Sjöström was born on September 20, 1879, and is the undisputed father of Swedish film, ranking as one of the masters of world cinema. His influence lives on in the work of"
nm0662223,Eleanor,Parker,06/26/1922,USA,Ohio,0,1,"Eleanor Jean Parker was born on June 26, 1922, in Cedarville, Ohio, the last of three children born to a mathematics teacher and his wife. Eleanor caught the acting bug early and began performing in school plays. She was was so serious about becoming a thespian that she attended the Rice Summer Theatre on Martha's Vineyard in Massachusetts beginning when she was 15 years old. She was offered her first screen test by a 20th Century-Fox talent scout while attending Rice, but turned the opportunity down to gain professional stage experience in Cleveland after graduating from high school."
nm0001638,Jürgen,Prochnow,06/10/1941,Germany,Berlin,0,0,"Born in Berlin, Germany, in 1941, Jürgen Prochnow is a leading actor of the German stage and screen. He was memorable as the submarine captain in the gritty WW II film"
nm0000450,Philip,Seymour,07/23/1967,USA,New York,0,0,"Film and stage actor and theater director Philip Seymour Hoffman was born in the Rochester, New York, suburb of Fairport on July 23, 1967. He was the son of Marilyn (Loucks), a lawyer and judge, and Gordon Stowell Hoffman, a Xerox employee, and was mostly of German, Irish, English and Dutch ancestry. After becoming involved in high school theatrics, he attended New York University's Tisch School of the Arts, graduating with a B.F.A. degree in Drama in 1989. He made his feature film debut in the indie production"
nm0000169,Tommy,Lee,09/15/1946,USA,Texas,0,0,"Tommy Lee Jones was born in San Saba, Texas, the son of Lucille Marie (Scott), a police officer and beauty shop owner, and Clyde C. Jones, who worked on oil fields. Tommy himself worked in underwater construction and on an oil rig. He attended St. Mark's School of Texas, a prestigious prep school for boys in Dallas, on a scholarship, and went to Harvard on another scholarship. He roomed with future Vice President"
nm0317725,Ariadna,Gil,01/23/1969,Spain,Catalonia,0,1,"Born in January, 1969, she's the daughter of"
nm0001656,Donna,Reed,01/27/1921,USA,Iowa,0,1,"Donna Reed was born in the midwestern town of Denison, Iowa, on January 27, 1921, as Donna Belle Mullenger. A small town - a population of less than 3,000 people - Denison was located by the Boyer River, and was the county seat of Crawford County. Donna grew up as a farm girl, much like many young girls in western Iowa, except for one thing - Donna was very beautiful. That wasn't to say that others weren't as pretty, it's just that Donna's beauty stood out from all the other local girls, so much so that she won a beauty contest in Denison. Upon graduation from high school Donna left for college in Los Angeles, in the hopes of eventually entering movies. While at Los Angeles City College, she pursued her dream by participating in several college stage productions. In addition to the plays, she also won the title of Campus Queen. At one of those stage plays Donna was spotted by an MGM talent scout and was signed to a contract. Her first film was a minor role in MGM's"
nm0000705,Robin,Wright,04/08/1966,USA,Texas,0,1,"Robin Gayle Wright was born in Dallas, Texas, to Gayle (Gaston), a national director at Mary Kay, and Freddie Wright, a pharmaceutical executive. She grew up in San Diego, California. She started her professional career as a model in 1980 at age 14, and worked both in Paris and Japan. After finishing high school she decided to become an actress. She got a role on the soap opera"
nm0001385,Eric,Idle,03/29/1943,UK,England,0,0,"Eric Idle is an English comedian, actor, author, singer, playwright, director, and songwriter. co-creator of Monty Python on TV, stage, and five films, including The Life of Brian and The Holy Grail, which he later adapted for the stage with John Du Prez as Monty Python's Spamalot, winning the Tony Award for Best Musical in 2005, a Grammy, a Drama Desk Award, and playing for almost five years on Broadway. They also wrote the comic oratorio Not the Messiah, He's a Very Naughty Boy, in 2007, which played round the world and at The Hollywood Bowl and was filmed live at The Royal Albert Hall, and a musical play What About Dick? available soon on iTunes. He created and directed the first mockumentary The Rutles for NBC, starred as Ko-Ko in the English National Opera version of The Mikado in London and Houston, and appeared last year in The Pirates of Penzance in Central Park and in Not the Messiah at Carnegie Hall. He is also one of the conceivers of the musical Seussical. In 2012 he appeared live in front of a billion people worldwide singing his song Always Look on the Bright Side of Life at the Closing Ceremony of the London Olympics. Last year he created, directed, and appeared in the sold-out final Monty Python reunion show One Down Five to Go at London's O2 Arena for 10 nights, whose final performance was broadcast live round the world."
nm0124930,Gerard,Butler,11/13/1969,UK,Scotland,0,0,"Gerard James Butler was born in Paisley, Scotland, to Margaret and Edward Butler, a bookmaker. His family is of Irish origin. Gerard spent some of his very early childhood in Montreal, Quebec, but was mostly raised, along with his older brother and sister, in his hometown of Paisley. His parents divorced when he was a child, and he and his siblings were raised primarily by their mother, who later remarried. He had no contact with his father between the ages of two and 16 years old, after which time they became close. His father passed away when Gerard was in his early 20s. Butler went on to attend Glasgow University, where he studied to be a lawyer/solicitor. He was president of the school's law society thanks to his outgoing personality and great social skills."
nm0000038,Grace,Kelly,11/12/1929,USA,Pennsylvania,0,1,"On November 12, 1929, Grace Patricia Kelly was born in Philadelphia, Pennsylvania to wealthy parents. Her girlhood was uneventful for the most part, but one of the things she desired was to become an actress which she had decided on at an early age. After her high school graduation in 1947, Grace struck out on her own, heading to New York's bright lights to try her luck there. Grace worked some as a model and made her debut on Broadway in 1949. She also made a brief foray into the infant medium of television. Not content with the work in New York, Grace moved to Southern California for the more prestigious part of acting -- motion pictures. In 1951, she appeared in her first film entitled"
nm0000442,Rutger,Hauer,01/23/1944,Netherlands,Utrecht,0,0,"Blond, blue-eyed, tall and handsome Dutch actor Rutger Hauer enjoyed an international reputation for playing everything from romantic leads to action heroes to sinister villains. Hauer was born in Breukelen, a Dutch town and former municipality in the province of Utrecht."
nm0123785,Ben,Burtt,07/12/1948,USA,New York,0,,"Ben Burtt was born in New York, USA. Though he is a writer, an editor and a director, he is best known for his work as a sound designer. Ben has worked on many Pixar and Star Trek movies and all of the Star Wars movies. He is credited for creating Chewbacca's voice and sounds as well as the voice of Yoda and several others."
nm1256532,Jon,Bernthal,09/20/1976,USA,District of Columbia,0,0,"Jon Bernthal was born and raised in Washington D.C., the son of Joan (Marx) and Eric Bernthal, a lawyer. His grandfather was musician Murray Bernthal. Jon went to study at The Moscow Art Theatre School, in Moscow, Russia, where he also played professional baseball in the European professional baseball federation. While in Moscow, he was noticed by the director of Harvard University's Institute for Advanced Theatre Training at the American Repertory Theatre and was invited to obtain his M.F.A there. After graduating in 2002 he has performed in over 30 plays regionally and off-Broadway including many with his own award-winning theatre company Fovea Floods. He now lives in Venice, California with his dog, Boss."
nm0725543,Don,Rickles,05/08/1926,USA,New York,0,0,"Donald Jay Rickles was born May 8, 1926 in New York. Following the Golden Era of Hollywood, he remained active until early 2017. He got his start in night clubs, toiling for over 20 years, until 1958, when he made his film debut in"
nm0085038,Gunnar,Björnstrand,11/13/1909,Sweden,Stockholms län,0,0,"Being the son of an acting father, Oscar Johanson, it isn't surprising that he wanted to be an actor already as a child. However, he first worked as a baker's apprentice, in a barber shop or in the docks. After the conscription he got his first role, a bit part on the theater Lilla Teatern in Stockholm, while he took acting lessons. One of his early roles was against"
nm0173827,Dorothy,Comingore,08/24/1913,USA,California,0,1,Dorothy Comingore earned a place in motion picture history for her role as the second Mrs. Kane (the
nm0000348,Tony,Curtis,06/03/1925,USA,New York,0,0,"Tony Curtis was born Bernard Schwartz, the eldest of three children of Helen (Klein) and Emanuel Schwartz, Jewish immigrants from Hungary. Curtis himself admits that while he had almost no formal education, he was a student of the ""school of hard knocks"" and learned from a young age that the only person who ever had his back was himself, so he learned how to take care of both himself and younger brother, Julius. Curtis grew up in poverty, as his father, Emanuel, who worked as a tailor, had the sole responsibility of providing for his entire family on his meager income. This led to constant bickering between Curtis's parents over money, and Curtis began to go to movies as a way of briefly escaping the constant worries of poverty and other family problems. The financial strain of raising two children on a meager income became so tough that in 1935, Curtis's parents decided that their children would have a better life under the care of the state and briefly had Tony and his brother admitted to an orphanage. During this lonely time, the only companion Curtis had was his brother, Julius, and the two became inseparable as they struggled to get used to this new way of life. Weeks later, Curtis's parents came back to reclaim custody of Tony and his brother, but by then Curtis had learned one of life's toughest lessons: the only person you can count on is yourself."
nm2973712,Jordan,Nagai,02/05/2000,USA,California,0,0,"Jordan Nagai was born on February 5, 2000 in Los Angeles, California, USA. He is known for his work on"
nm0000979,Wilford,Brimley,09/27/1934,USA,Utah,0,0,"Wilford Brimley was born on September 27, 1934 in Salt Lake City, Utah, USA. He is known for his work on"
nm0059431,Jay,Baruchel,04/09/1982,Canada,Ontario,0,0,"Jay Baruchel was born in Ottawa, Ontario, and was raised in Montreal, Quebec, Canada. He is the son of Robyne (Ropell), a freelance writer, and Serge Victor Baruchel, an antiques dealer. He has a younger sister who also acts. He started acting in 1995 when he made his first of three appearances on the hit show"
nm0001666,Debbie,Reynolds,04/01/1932,USA,Texas,0,1,"Debbie Reynolds was born Mary Frances Reynolds in El Paso, Texas, the second child of Maxine N. (Harmon) and Raymond Francis Reynolds, a carpenter for the Southern Pacific Railroad. Her film career began at MGM after she won a beauty contest at age 16 impersonating"
nm0200452,Paul,Dano,06/19/1984,USA,New York,0,0,"An actor for all seasons and all kinds of roles (from dark, difficult characters to more loving ones) Paul Dano has an extensive body work that includes working with directors such as Paul Thomas Anderson, Steve McQueen, Dayton & Ferris, Ang Lee, Denis Villenueve and Paolo Sorrentino; acting with heavyweights such as Harrison Ford, Daniel Day-Lewis, Alan Arkin, Jake Gyllenhaal, Toni Collette, Michael Caine, Kevin Kline - just to mention a few names; and easily making a fine transition in between independent cinema, art-house films and mainstream Hollywood blockbusters."
nm0000380,Robert,Duvall,01/05/1931,USA,California,0,0,"Veteran actor and director Robert Selden Duvall was born on January 5, 1931, in San Diego, CA, to Mildred Virginia (Hart), an amateur actress, and William Howard Duvall, a career military officer who later became an admiral. Duvall majored in drama at Principia College (Elsah, IL), then served a two-year hitch in the army after graduating in 1953. He began attending The Neighborhood Playhouse School of the Theatre In New York City on the G.I. Bill in 1955, studying under"
nm0000244,Sigourney,Weaver,10/08/1949,USA,New York,0,1,"Sigourney Weaver was born Susan Alexandra Weaver, on October 8, 1949, in Leroy Hospital in New York City. Her father, TV producer"
nm0000354,Matt,Damon,10/08/1970,USA,Massachusetts,0,0,"Matthew Paige Damon was born on October 8, 1970, in Boston, Massachusetts, to"
nm0000249,James,Woods,04/18/1947,USA,Utah,0,0,"James Howard Woods was born on April 18, 1947 in Vernal, Utah, the son of Martha A. (Smith) and Gail Peyton Woods, a U.S. Army intelligence officer who died during Woods' childhood. James is of Irish, English, and German descent. He grew up in Warwick, Rhode Island, with his mother and stepfather Thomas E. Dixon. He graduated from Pilgrim High School in 1965, near the top of his class. James earned a scholarship to the Massachusetts Institute of Technology; dropping out during his sophomore year in 1967, he then headed off to New York with his fraternity brother Martin Donovan to pursue aspirations to appear on the stage. After appearing in a handful of New York City theater productions, Woods scored his first film role in"
nm0001072,Joseph,Cotten,05/15/1905,USA,Virginia,0,0,"Joseph Cheshire Cotten, Jr. was born in Petersburg, Virginia, into a well-to-do Southern family. He was the eldest of three sons born to Sally Whitworth (Willson) and Joseph Cheshire Cotten, Sr., an assistant postmaster."
nm0412615,Shima,Iwashita,01/03/1941,Japan,Tokyo,0,1,"Shima Iwashita was born on January 3, 1941 in Tokyo, Japan. She is an actress, known for"
nm0000056,Paul,Newman,01/26/1925,USA,Ohio,0,0,"Screen legend, superstar, and the man with the most famous blue eyes in movie history, Paul Leonard Newman was born on January 26, 1925, in Cleveland, Ohio, the second son of Arthur Sigmund Newman (died 1950) and Theresa Fetsko (died 1982). His elder brother was"
nm0252230,Chiwetel,Ejiofor,07/10/1977,UK,England,0,0,"English actor, writer and director Chiwetel Ejiofor is renowned for his portrayal of Solomon Northup in"
nm0000368,Laura,Dern,02/10/1967,USA,California,0,1,"Laura Dern was born on February 10, 1967 in Los Angeles, the daughter of actors"
nm0075551,André,Berley,01/13/1880,France,Paris,0,0,"André Berley was born on January 13, 1880 in Paris, France. He was an actor, known for"
nm0004266,Anne,Hathaway,11/12/1982,USA,New York,0,1,"Anne Jacqueline Hathaway was born in Brooklyn, New York, to"
nm0000260,Joan,Allen,08/20/1956,USA,Illinois,0,1,"Joan Allen was born on August 20, 1956 in Rochelle, Illinois, the youngest of four children. She is the daughter of homemaker Dorothea Marie (Wirth) and gas station owner James Jefferson Allen. Her mother's family was German, and her father had English, Scots-Irish, and German ancestry. She attended Rochelle Township High School where she was voted most likely to succeed. Joining Chicago's famed Steppenwolf Theatre Company ensemble in 1977, she was one of the group's original members and starred in a number of its original productions. Her first major film credits included two critically-lauded supporting performances that showcased her versatility: a comedic turn in the suburban murder mystery"
nm0000621,Kurt,Russell,03/17/1951,USA,Massachusetts,0,0,"Kurt Vogel Russell was born on March 17, 1951 in Springfield, Massachusetts, to Louise Julia Russell (née Crone), a dancer, and"
nm0000234,Charlize,Theron,08/07/1975,South Africa,Transvaal,0,1,"Charlize Theron was born in Benoni, a city in the greater Johannesburg area, in South Africa, the only child of"
nm0001158,Keir,Dullea,05/30/1936,USA,Ohio,0,0,"Tall, slim, remote and boyishly handsome, one of Keir Dullea's most arresting features is his pale blue eyes, which featured in a number of watershed films of the 1960s. His major breakthrough (providing him legendary status) was the starring role as astronaut Dave Bowman in Stanley Kubrick's 2001: A Space Odyssey. After that, he persevered quite well on T.V. and (especially) the stage in a career now surpassing five decades."
nm5939164,Zazie,Beetz,06/01/1991,Germany,Berlin,0,1,Zazie Beetz (born c. 1991) is a German-American actress known for the role of Vanessa on
nm0915989,Hugo,Weaving,04/04/1960,Nigeria,Ibadan,0,0,"Hugo Wallace Weaving was born on April 4, 1960 in Nigeria, to English parents Anne (Lennard), a tour guide and teacher, and Wallace Weaving, a seismologist. Hugo has an older brother, Simon, and a younger sister, Anna, who both also live and work in Australia. During his early childhood, the Weaving family spent most of their time traveling between Nigeria, Great Britain, and Australia. This was due to the cross-country demands of his father's job in the computer industry. Later, during his teens, Hugo spent three years in England in the seventies attending Queen Elizabeth's Hospital School in Bristol. There, he showed early promise in theater productions and also excelled at history, achieving an A in his O-level examination. He arrived permanently in Australia in 1976 and finished his education at Knox Grammar School, Sydney. He graduated from NIDA (National Institute of Dramatic Art), a college well-known for other alumni such as"
nm0867391,Eijirô,Tôno,09/17/1907,Japan,Gunma,0,0,"Eijirô Tôno was born on September 17, 1907 in Gunma, Japan. He was an actor, known for"
nm0846548,Saïd,Taghmaoui,07/19/1973,France,Seine-Saint-Denis,0,0,"Saïd Taghmaoui was born July 19th 1973 in Villepinte, Seine-Saint-Denis, France, to Moroccan immigrant parents. He has 9 siblings. He dropped out of school at a young age and became a boxer; at one point ranking number 2 in France in his category. He met"
nm0000026,Cary,Grant,01/18/1904,UK,England,0,0,"Once told by an interviewer, ""Everybody would like to be Cary Grant"", Grant is said to have replied, ""So would I."""
nm0862026,Ingrid,Thulin,01/27/1926,Sweden,Västernorrlands län,0,1,"Ingrid trained as a ballet dancer and attended Stockholm's Royal Dramatic Theatre. She came to fame thanks to Bergman's ""Wild Strawberries"". She acted in 9 Ingmar Bergman's films. Her fame allowed her to act in Luchino Visconti's ""The Damned"" in 1969. Ingrid Thulin lived in Rome since the 1960's. She came back to Sweden for her health treatment recently."
nm0628704,Jinpachi,Nezu,12/01/1947,Japan,Yamanashi,0,0,"Jinpachi Nezu was born on December 1, 1947 in Yamanashi, Japan. He was an actor, known for"
nm0001647,Claude,Rains,11/10/1889,UK,England,0,0,"William Claude Rains, born in the Clapham area of London, was the son of the British stage actor Frederick Rains. The younger Rains followed, making his stage debut at the age of eleven in ""Nell of Old Drury."" Growing up in the world of theater, he saw not only acting up close but the down-to-earth business end as well, progressing from a page boy to a stage manager during his well-rounded learning experience. Rains decided to come to America in 1913 and the New York theater, but with the outbreak of World War I the next year, he returned to serve with a Scottish regiment in Europe. He remained in England, honing his acting talents, bolstered with instruction patronized by the founder of the Royal Academy of Dramatic Arts,"
nm0914612,Emma,Watson,04/15/1990,France,Paris,0,1,"Emma Charlotte Duerre Watson was born in Paris, France, to British parents, Jacqueline Luesby and Chris Watson, both lawyers. She moved to Oxfordshire when she was five, where she attended the Dragon School. From the age of six, Emma knew that she wanted to be an actress and, for a number of years, she trained at the Oxford branch of Stagecoach Theatre Arts, a part-time theatre school where she studied singing, dancing and acting. By the age of ten, she had performed and taken the lead in various Stagecoach productions and school plays."
nm6748436,Dafne,Keen,01/04/2005,Spain,Madrid,0,1,"Dafne Keen Fernández is a British and Spanish actress who played the role of Ana ""Ani"" Cruz Oliver in the television series The Refugees, and the mutant Laura Kinney / X-23 in the 2017 film Logan."
nm0201857,Ricardo,Darín,01/16/1957,Argentina,Buenos Aires,0,0,"Ricardo Darín was born in Buenos Aires, Argentina, on January 16, 1957. He works since he was a little boy, and has obtained with the years a remarkable evolution from soap opera gallant and tv comedies to an excellent leading figure of the most importants Argentinian movies. At the age of 10 he made his debut in a play along with his parents, actor Ricardo Darín Sr., and actess Renée Roxana. He acted for several years in TV series (such as Alta Comedia and Estación Retiro), where he reached popularity as a young leading actor in different soap operas, specially in Alberto Migre's productions. In the 90s, he achieved a great success in the TV comedy ""Mi Cuñado"" (1993), in which he co-starred with Luis Brandoni. He never left theater and continued acting in plays like ""Sugar"", ""Extraña Pareja"", ""Taxi"", ""Algo en Común"" and ""Art"". At that time, he directed plays and movies like ""He nacido en la ribera"", ""La Rabona"" y ""Los Exitos del Amor"". The first time the critic emphasized his performance was in the movie ""Perdido por Perdido"" (1993), Alberto Lecchi's debut as a film director. Then, he played in ""El Faro"" (1998), ""El Mismo Amor La Misma Lluvia"" (1999), and ""Nueve Reinas"" (2000), brilliantly portraying Marcos. Once again, he colaborated with director Eduardo Mignona when he portrayed Domingo Santaló in ""La Fuga"" (2001). In 2001 he played Rafael Belvedere in ""El Hijo de la Novia"" (nominated in the foreign language category at the 2002 Oscars), crowning his career. Currently (2005), he is on tour with the play ""Art"" all over the world."
nm0000439,Neil,Patrick,06/15/1973,USA,New Mexico,0,0,"Neil Patrick Harris was born in Albuquerque, New Mexico, on June 15, 1973. His parents, Sheila Gail (Scott) and Ronald Gene Harris, were lawyers and ran a restaurant. He grew up in Ruidoso, New Mexico, a small town 120 miles south of Albuquerque, where he first took up acting in the fourth grade. While tagging along with his older brother of 3 years, Harris won the part of Toto in a school production of"
nm1310525,Sun-kyun,Lee,03/02/1975,South Korea,Seoul,0,0,"Sun-kyun Lee was born on March 2, 1975 in Seoul, South Korea. He is an actor and manager, known for"
nm0000532,Malcolm,McDowell,06/13/1943,UK,England,0,0,"Malcolm John Taylor was born on June 13, 1943 in Leeds, England, to working-class parents Edna (McDowell), a hotelier, and Charles Taylor, a publican. His father was an alcoholic. Malcolm hated his parents' ways. His father was keen to send his son to private school to give him a good start in life, so Malcolm was packed off to boarding school at age 11. He attended the Tunbridge Boarding School and the Cannock House School in Eltham, Kent. At school, he was beaten with the slipper or cane every Monday for his wayward behavior. Whilst at school, he decided that he wanted to become an actor; it was also around this time that his love for race cars began. He attended the London Academy of Music and Dramatic Arts (LAMDA) to study acting. Meanwhile, he worked at his parents' pub but lost his job when the pub went bankrupt, his father drinking all the profits. He then had a variety of jobs, from coffee salesman to messenger."
nm0000020,Henry,Fonda,05/16/1905,USA,Nebraska,0,0,"Born in Grand Island, Nebraska, Henry Fonda started his acting debut with the Omaha Community Playhouse, a local amateur theater troupe directed by Dorothy Brando. He moved to the Cape Cod University Players and later Broadway, New York to expand his theatrical career from 1926 to 1934. His first major roles in Broadway include ""New Faces of America"" and ""The Farmer Takes a Wife"". The latter play was transfered to the screen in 1935 and became the start-up of Fonda's lifelong Hollywood career. The following year he married"
nm0001017,John,Carradine,02/05/1906,USA,New York,0,0,"John Carradine, the son of a reporter/artist and a surgeon, grew up in Poughkeepsie, New York. He attended Christ Church School and Graphic Art School, studying sculpture, and afterward roamed the South selling sketches. He made his acting debut in ""Camille"" in a New Orleans theatre in 1925. Arriving in Los Angeles in 1927, he worked in local theatre. He applied for a job as as scenic designer to"
nm0000707,Sean,Young,11/20/1959,USA,Kentucky,0,1,"Mary Sean Young was born on November 20, 1959 in Louisville, Kentucky. She is the daughter of Lee Guthrie (née Mary Lee Kane), an Emmy-nominated producer, screenwriter, public relations executive, and journalist, and Donald Young, Jr., an Emmy award winning television news producer and journalist. She has Irish, English, and Swiss-German ancestry. She grew up with an older brother Donald Young III and a sister Cathleen Young in Cleveland, Ohio. She attended Cleveland Heights High School, and then transferred to and graduated from Interlochen Arts Academy. A trained dancer, she studied at the School of American Ballet in New York City, and did some modeling. Sean Young began a promising film career by acting in a Merchant-Ivory film"
nm0001533,Meat,Loaf,09/27/1947,USA,Texas,0,0,"Meat Loaf was born Marvin Lee Aday in Dallas, Texas, to Wilma Artie (Hukel), a teacher and gospel singer, and Orvis Wesley Aday, a police officer. He moved to Los Angeles in 1967 to play in local bands. In 1970, he moved to New York and appeared in the Broadway musicals ""Hair"", ""Rockabye Hamlet"" and ""The Rocky Horror Show,"" and Off Broadway in ""Rainbow"", ""More Than You Deserve"", ""National Lampoon Show"" and the New York Shakespeare Festival's production of ""As You Like it;"" as well as other productions at the famed New York Public Theatre. He made his film debut with a memorable role in the cult film"
nm0000434,Mark,Hamill,09/25/1951,USA,California,0,0,Mark Hamill is best known for his portrayal of Luke Skywalker in the original Star Wars trilogy -
nm0179819,Wendell,Corey,03/20/1914,USA,Massachusetts,0,0,"Wendell Corey was a hard-working American character actor who appeared in numerous movies and television productions in the 1940s, '50s and '60s. Born on March 20, 1914 in Dracut, Massachusetts, in the northeastern part of the Commonwealth near the New Hampshire border, Corey was the son of a Congregationalist clergyman. After receiving his education, Corey began his acting career in summer stock. During the Depression he worked with the Federal Theater Project, part of the Works Progress Administration that had been created by President"
nm0000375,Robert,Downey,04/04/1965,USA,New York,0,0,"Robert Downey Jr. has evolved into one of the most respected actors in Hollywood. With an amazing list of credits to his name, he has managed to stay new and fresh even after over four decades in the business."
nm0000191,Ewan,McGregor,03/31/1971,UK,Scotland,0,0,"Ewan Gordon McGregor was born on March 31, 1971 in Perth, Perthshire, Scotland, to Carol Diane (Lawson) and James Charles McGregor, both teachers. His uncle is actor"
nm0552483,Jean,Martin,03/06/1922,France,Paris,0,0,"Jean Martin was born on March 6, 1922 in Paris, France. He was an actor, known for"
