aid,fname,lname,birth_date,birth_country,birth_city,overall_rating,gender,description
nm0154665,Paddy,Chayefsky,01/29/1923,USA,New York,0,0,"Author, producer, and composer who earned a Bachelor of Science degree from CCNY, then a Purple Heart during World War II while serving in the US Army. Joining ASCAP in 1955, his chief musical collaborators included George Bassman and Harry Warren. His popular-song compositions include ""Marty"" and ""Middle of the Night""."
nm2057405,Nobuaki,Minegishi,01/01/1970,unknown,unknown,0,,Biography needs more update
nm0004056,Andrew,Stanton,12/03/1965,USA,Massachusetts,0,0,"Andrew Stanton has been a major creative force at Pixar Animation Studios since 1990, when he became the second animator and ninth employee to join the company's elite group of computer animation pioneers. As Vice President, Creative he currently oversees all shorts and feature projects at the studio. Stanton wrote and directed the Academy Award®-winning Disney and Pixar feature film ""WALL.E,"" for which he also received a Best Original Screenplay Oscar®-nomination. In 2016 Stanton directed Disney and Pixar's ""Finding Dory,"" which, upon release, became the highest-grossing domestic animated feature of all time and in 2019 Stanton served as screenwriter and executive producer of ""Toy Story 4."""
nm0109300,John,Briley,06/25/1925,USA,Michigan,0,0,"John Briley was born on June 25, 1925 in Kalamazoo, Michigan, USA. He was a writer and producer, known for"
nm0571346,David,McKenna,08/14/1968,USA,California,0,,"David McKenna was born on August 14, 1968 in San Diego, California, USA. He is a writer and producer, known for"
nm0291082,Scott,Frank,03/10/1960,USA,Florida,0,,"Scott Frank was born on March 10, 1960 in Fort Walton Beach, Florida, USA. He is a writer and producer, known for"
nm0004170,Bob,Kane,10/24/1915,USA,New York,0,,"Bob Kane was an American comic book writer and artist of Jewish descent, most famous for co-creating Batman and several members of Batman's supporting cast. Kane was inducted into the comic book industry's Jack Kirby Hall of Fame in 1994 and into the Will Eisner Comic Book Hall of Fame in 1996."
nm0801737,Upton,Sinclair,09/20/1878,USA,Maryland,0,,"Upton Sinclair was born on September 20, 1878 in Baltimore, Maryland, USA. He was a writer and producer, known for"
nm0622288,Jeff,Nathanson,10/12/1965,USA,California,0,,"Jeff Nathanson was born on October 12, 1965 in Los Angeles, California, USA. He is known for his work on"
nm0001294,Graham,Greene,10/02/1904,UK,England,0,0,"Graham Greene was one of the greatest novelists of the 20th century and his influence on the cinema and theatre was enormous. He wrote five plays and almost all of his novels, including ""Brighton Rock"", ""The Ministry of Fear"" and ""The End of the Affair"", have been brought to the screen. A superb storyteller, he also wrote the screenplays for such classics as"
nm0000108,Luc,Besson,03/18/1959,France,Paris,0,,
nm0002030,George,Cukor,07/07/1899,USA,New York,0,,"George Cukor was an American film director of Hungarian-Jewish descent, better known for directing comedies and literary adaptations. He once won the Academy Award for Best Director, and was nominated other four times for the same Award."
nm0000500,Richard,Linklater,07/30/1960,USA,Texas,0,,"Self-taught writer-director Richard Stuart Linklater was born in Houston, Texas, to Diane Margaret (Krieger), who taught at a university, and Charles W. Linklater III. Richard was among the first and most successful talents to emerge during the American independent film renaissance of the 1990s. Typically setting each of his movies during one 24-hour period, Linklater's work explored what he dubbed ""the youth rebellion continuum,"" focusing in fine detail on generational rites and mores with rare compassion and understanding while definitively capturing the 20-something culture of his era through a series of nuanced, illuminating ensemble pieces which introduced any number of talented young actors into the Hollywood firmament. Born in Houston, Texas, Linklater suspended his educational career at Sam Houston State University in 1982, to work on an offshore oil rig in the Gulf of Mexico. He subsequently relocated to the state's capital of Austin, where he founded a film society and began work on his debut film, 1987's"
nm0450181,Ken,Kesey,09/17/1935,USA,Colorado,0,0,"Kesey burst into the literary scene with the ""Cuckoo's Nest"" in 1962 which he wrote from his experiences working at a veterans hospital. During this period, he volunteered for the testing on the drug LSD. After writing his second novel, ""Sometimes A Great Notion,"" he bought an old school bus dubbed ""Further."" With Neal Cassidy at the wheel and pitchers of LSD-laced-Kool-Laid in the cooler, Kesey and a band of friends who called themselves The Merry Pranksters took a trip across America to New York's World Fair. It would be 28 years until Kesey published his third major novel, ""Sailor Song,"" in 1992, and he later said he lost interest in the novel as an art form after he discovered the magic of the bus. The bus ride was immortalized in Tom Wolfe's 1968 account, ""The Electric Kool-Aid Acid Test."" The movie version of the ""Cuckoo's Nest"" swept the 1974 Academy Awards for best actor, best actress, best director, and best picture. But Kesey, who has never seen the film, sued the producers because it took the viewpoint away from the character of the schizophrenic American Indian, Cheif Bromden. Kesey was diagnosed with diabetes in 1992 and set down root in Pleasant Hill, in the mid 1960s, after serving four months in jail for a marijuana bust in California. His rambling red barn-house has become a landmark of the psychedelic era, attracting visits from myriad strangers in tie-dyed clothing seeking enlightenment."
nm2588606,Steve,McQueen,10/09/1969,UK,England,0,,"Steve McQueen was born on October 9, 1969 in London, England. He is a director and producer, known for"
nm0748035,Danny,Rubin,01/01/1970,1957,unknown,0,0,"Danny Rubin was born in 1957. He is a writer and actor, known for"
nm0459552,Elem,Klimov,07/09/1933,Russia],Volgogradskaya oblast,0,0,"Elem Klimov was born on July 9, 1933 in Stalingrad, Nizhne-Volzhskiy kray, RSFSR, USSR [now Volgograd, Volgogradskaya oblast, Russia]. He was a director and actor, known for"
nm0899121,Thomas,Vinterberg,05/19/1969,Denmark,Copenhagen,0,0,With
nm0741627,Reginald,Rose,12/10/1920,USA,New York,0,,"Reginald Rose was born on December 10, 1920 in Manhattan, New York City, New York, USA. He was a writer and producer, known for"
nm0372942,Ben,Hecht,02/28/1894,USA,New York,0,0,"Ben Hecht, one of Hollywood's and Broadway's greatest writers, won an Oscar for best original story for"
nm1793993,Christopher,Priest,07/14/1943,UK,England,0,,"Christopher Priest was born on July 14, 1943 in Cheadle, Cheshire, England. He is a writer, known for"
nm0073053,Leonardo,Benvenuti,09/08/1923,Italy,Tuscany,0,,"Leonardo Benvenuti was born on September 8, 1923 in Florence, Tuscany, Italy. He was a writer and assistant director, known for"
nm0721675,David,Reynolds,01/01/1970,unknown,unknown,0,0,"He is the brother of well-known math teacher Brian Reynolds of Cedar Rapids, IA. Brian is known for his superb sinusoid drawing abilities, magical calculator fixing powers, and tendency to make his way down the slippery slope. Brian can often go off on tangents, attempting to relate what is being talked about to Greek mythology or his ""misspent youth."""
nm0318429,David,Giler,07/23/1943,USA,New York,0,0,"David Giler was born on July 23, 1943 in New York City, New York, USA. He was a producer and writer, known for"
nm0000466,Jean-Pierre,Jeunet,09/03/1953,France,Rhône-Alpes,0,,
nm0542534,Herman,J.,11/07/1897,USA,New York,0,0,"Herman J. Mankiewicz, now known primarily as the man who co-wrote"
nm4880670,Krysty,Wilson-Cairns,01/01/1970,unknown,unknown,0,,"Krysty Wilson-Cairns trained at the National Film and Television School, London. She loves screenwriting, storytelling and writing about herself in the third person."
nm1167933,Damián,Szifron,07/09/1975,Argentina,Buenos Aires,0,,"Damián Szifron was born on July 9, 1975 in Ramos Mejía, Buenos Aires, Argentina. He is a writer and director, known for"
nm0424956,Diane,Johnson,04/28/1934,USA,Illinois,0,,"Diane Johnson was born on April 28, 1934 in Moline, Illinois, USA. She is a writer, known for"
nm0000583,Wolfgang,Petersen,03/14/1941,Germany,Emden,0,,This director seems to shine most when making movies that can best be described as part action movies/part disaster movies.
nm0000118,John,Carpenter,01/16/1948,USA,New York,0,,"John Howard Carpenter was born in Carthage, New York, to mother Milton Jean (Carter) and father Howard Ralph Carpenter. His family moved to Bowling Green, Kentucky, where his father, a professor, was head of the music department at Western Kentucky University. He attended Western Kentucky University and then USC film school in Los Angeles. He began making short films in 1962, and won an Academy Award for Best Live-Action Short Subject in 1970, for"
nm0460795,Andrew,Knight,01/01/1970,unknown,unknown,0,,"Andrew Knight is a producer and writer, known for"
nm0798899,David,Silverman,03/15/1957,USA,New York,0,,"David Silverman was born on March 15, 1957 in New York City, New York, USA. He is known for his work on"
nm0386570,Oliver,Hirschbiegel,12/29/1957,Germany,Hamburg,0,0,"Born in Hamburg, Germany, in 1957. In his teens he left high school and worked as a cooker in a boat."
nm0880243,Jim,Uhls,03/25/1957,USA,Missouri,0,0,"Jim Uhls was born on March 25, 1957 in Missouri, USA. He is a writer and producer, known for"
nm1218281,Jon,Watts,06/28/1981,USA,Colorado,0,,"Jon Watts is an American filmmaker and screenwriter. He directed Cop Car and Clown before he was picked by Marvel and Sony to direct Spider-Man: Homecoming starring Tom Holland and Zendaya. It's success resulted in two sequels, Far from Home in 2019 and No Way Home in 2021. He is also picked by Marvel to direct a Fantastic Four reboot film following the failure of Josh Trank's Fant4stic."
nm0000338,Francis,Ford,04/07/1939,USA,Michigan,0,,"Francis Ford Coppola was born in 1939 in Detroit, Michigan, but grew up in a New York suburb in a creative, supportive Italian-American family. His father,"
nm0380282,Michael,Herr,04/13/1940,USA,Kentucky,0,,"Michael Herr was born on April 13, 1940 in Lexington, Kentucky, USA. He was a writer and producer, known for"
nm0893659,Gore,Verbinski,03/16/1964,USA,Tennessee,0,,"Gore Verbinski, one of American cinema's most inventive directors who was a punk-rock guitarist as a teenager and had to sell his guitar to buy his first camera, is now the director of"
nm0006498,Majid,Majidi,01/01/1970,Iran,Tehran,0,0,"Majid Majidi was born on April 17, 1959 in Tehran, Iran to a middle class family. He started acting in amateur theater groups at the age of fourteen. After receiving his high school diploma, he started studying art at the Institute of Dramatic Art in Tehran. After the Islamic Revolution of 1979, his interest in cinema brought him to act in various films, notably"
nm0425913,Nunnally,Johnson,12/05/1897,USA,Georgia,0,,"The son of a railway superintendent, Nunnally Johnson was schooled in Columbus, Georgia, graduating in 1915. He worked for the local newspaper as a delivery boy, became a junior reporter for the Savannah Press and then moved on to New York in 1919. There, his journalistic career really took off, particularly as a principal news reporter for the New York Herald Tribune and the New York Evening Post for which he wrote a humorous weekly column. An exceptionally literate individual, possessed of great wit, he was at his best writing social satire, lampooning conventions. This side of him was well showcased by some fifty short stories he submitted to the Saturday Evening Post and the New Yorker between 1925 and 1932."
nm0677037,Bob,Peterson,01/09/1961,USA,Ohio,0,0,"Bob Peterson was born in Wooster, Ohio, USA, in 1961. He studied mechanical engineering at Ohio Northern University, where he took computer graphics courses and graduated in 1983. He continued his studies in mechanical engineering at Purdue University where he earned a master's degree in 1986. While a student, he wrote and drew a cartoon strip called ""Loco Motives"". Before joining Pixar in 1994, he worked at Wavefront Technologies, Inc. and Rez-n-8 Productions."
nm2130108,Bob,Persichetti,01/01/1970,unknown,unknown,0,,"Bob Persichetti is a director and writer, known for"
nm0640334,Gavin,O'Connor,12/24/1963,USA,New York,0,,"Gavin O'Connor was born on December 24, 1963 in Huntington, Long Island, New York, USA. He is a producer and director, known for"
nm2105585,Tobias,Lindholm,07/05/1977,Denmark,Næstved,0,,"Tobias Lindholm was born on July 5, 1977 in Næstved, Denmark. He is a writer and director, known for"
nm0173679,Betty,Comden,05/03/1917,USA,New York,0,1,"Songwriter (""New York, New York"", ""Lonely Town"", ""The Party's Over"", ""Just in Time""), author and actress. educated at New York University with a Bachelor of Science degree. While a student, she acted with the Washington Square Players. She was a member of the Revuers, a night club act which also included Judy Holliday and Adolph Green. She wrote the Broadway stage scores for ""Wonderful Town"" (which garnered a Tony award from the Broadway League and the American Theatre Wing in 1953), ""Peter Pan"", and ""Do Re Mi"". She was also the co-librettist for ""On The Town"", ""Billion Dollar Baby"", ""Two in the Aisle"", ""Bells Are Ringing"", ""Say, Darling"", ""Subways Are For Sleeping"", and ""Fade Out - Fade In"". She appeared with Adolph Green on stage in ""A Party"", and on television. Joining ASCAP in 1945, her chief lyrics, libretto and screenplay collaborator was Adolph Green, and her chief musical collaborators were Leonard Bernstein, Jule Styne, Morton Gould, and Andre Previn. Her other popular-song compositions include ""I Get Carried Away"", ""I Can Cook, Too"", ""Some Other Time"", ""Lucky to Be Me"", ""Bad Timing"", ""Ohio"", ""A Little Bit in Love"", ""It's Love"", ""A Quiet Girl"", ""The French Lesson"", ""If You Hadn't But You Did"", ""Give a Little, Get a Little"", ""There Never Was a Baby Like My Baby"", ""Long Before I Knew You"", ""Never-Never Land"", ""Something's Always Happening on the River"", ""Dance Only With Me"", ""Adventure"", ""Make Someone Happy"", ""Fireworks"", ""Ride Through the Night"", ""Comes Once in a Lifetime"", ""I'm Just Taking My Time"", ""Now"", ""Fade Out - Fade In"", and ""Get Acquainted""."
nm0139714,Harry,Carr,03/22/1877,USA,Iowa,0,0,"Harry Carr was born on March 22, 1877 in Tipton, Iowa, USA. He was a writer and actor, known for"
nm0000092,John,Cleese,10/27/1939,UK,England,0,0,"John Cleese was born on October 27, 1939, in Weston-Super-Mare, England, to Muriel Evelyn (Cross) and Reginald Francis Cleese. He was born into a family of modest means, his father being an insurance salesman; but he was nonetheless sent off to private schools to obtain a good education. Here he was often tormented for his height, having reached a height of six feet by the age of twelve, and eventually discovered that being humorous could deflect aggressive behavior in others. He loved humor in and of itself, collected jokes, and, like many young Britons who would grow up to be comedians, was devoted to the radio comedy show, ""The Goon Show,"" starring the legendary"
nm0002005,Agatha,Christie,09/15/1890,UK,England,0,,"Agatha was born as ""Agatha Mary Clarissa Miller"" in 1890 to Frederick Alvah Miller and Clara Boehmer. Agatha was of American and British descent, her father being American and her mother British. Her father was a relatively affluent stockbroker. Agatha received home education from early childhood to when she turned 12-years-old in 1902. Her parents taught her how to read, write, perform arithmetic, and play music. Her father died in 1901. Agatha was sent to a girl's school in Torquay, Devon, where she studied from 1902 to 1905. She continued her education in Paris, France from 1905 to 1910. She then returned to her surviving family in England."
nm0308177,Oliver,H.P.,05/06/1894,USA,Massachusetts,0,,"Oliver H. P. Garrett was born on March 6, 1894 in New Bedford, Massachusetts to Legh Osborn and Alice Palmer Garrett. His father was an efficiency expert who passed away in 1899. His mother once operated a business that imported goods from India and the Far East and served with the YMCA in France during the First World War."
nm0350823,Jérôme,Géronimi,01/01/1970,unknown,unknown,0,,Biography needs more update
nm0006249,Satyajit,Ray,05/02/1921,British India [now India],Bengal Presidency,0,,
nm0010696,Ales,Adamovich,09/03/1927,USSR,unknown,0,,"Ales Adamovich was born on September 3, 1927 in the USSR. He was a writer, known for"
nm0000814,John,G.,12/21/1935,USA,Illinois,0,,"John G. Avildsen was born on December 21, 1935 in Oak Park, Illinois, USA. He was a director and editor, known for"
nm0792845,Robert,E.,04/04/1896,USA,New York,0,,"Robert E. Sherwood, a brilliant multifaceted writer, was born to Arthur Murray and Rosina Emmet Sherwood, educated at the Milton Academy (Massachusetts) and Harvard, and was wounded while serving with the Canadian Black Watch in WWI. His literary career started with jobs as movie critic at Vanity Fair and Life magazines, but he became a full-time writer with the success of his play ""The Road to Rome"" in 1927. His first movie writing job came in 1924, rewriting the subtitles for"
nm0001037,Graham,Chapman,01/08/1941,UK,England,0,0,"Graham Chapman was born on January 8, 1941 in Leicester, England while a German air raid was in progress. Graham's father was a chief police inspector and probably inspired the constables Graham often portrayed later in comedy sketches. Graham studied medicine in college and earned an M.D., but he practiced medicine for only a few years."
nm0317279,Raynold,Gideon,01/01/1970,unknown,unknown,0,0,"Raynold Gideon is an actor and writer, known for"
nm0680846,Todd,Phillips,12/20/1970,USA,New York,0,,"Todd Phillips is an American filmmaker and actor who got his start by directing the comedy films Road Trip and Old School, the earlier inspired EuroTrip. He also directed Starsky & Hutch, The Hangover trilogy, Due Date, War Dogs and School for Scoundrels. Phillips directed Joker, a Taxi Driver style film set in the universe of Batman and starring Joaquin Phoenix. Joker is the highest grossing R-rated film of all time."
nm0369142,Lawrence,Hauben,03/03/1931,USA,New York,0,0,"Lawrence Hauben was born on March 3, 1931 in New York, USA. He was an actor and writer, known for"
nm3227090,Damien,Chazelle,01/19/1985,USA,Rhode Island,0,,"Damien Sayre Chazelle is an American director and screenwriter. He was born in Providence, Rhode Island. His mother, Celia Sayre (Martin) Chazelle, is an American-Canadian writer and professor of history at The College of New Jersey. His father, Bernard Chazelle, is a French-American Eugene Higgins Professor of computer science at Princeton University, originally from Clamart, France. Chazelle has a sister, Anna, who is an actress and circus performer."
nm1321655,Christopher,Markus,01/02/1970,USA,New York,0,0,"Christopher Markus was born on January 2, 1970 in Buffalo, New York, USA. He is a writer and producer, known for"
nm0159039,Felix,Chong,01/01/1968,British Crown Colony,Hong Kong,0,0,"Felix Chong was born on January 1, 1968 in Hong Kong, British Crown Colony. He is a writer and director, known for"
nm1130251,Bráulio,Mantovani,01/01/1970,unknown,unknown,0,,"Bráulio Mantovani is a writer and producer, known for"
nm0329304,Frances,Goodrich,12/21/1890,USA,New Jersey,0,,"Frances Goodrich was born on December 21, 1890 in Belleville, New Jersey, USA. She was a writer, known for"
nm0337582,Adolph,Green,12/02/1914,USA,New York,0,0,"Songwriter (""New York, New York"", ""The Party's Over"", ""Just in Time"", ""Make Someone Happy""), author and actor, educated at City College of New York. While he was a student, he acted with the Washington Square Players and had a part in the road company of ""Having a Wonderful Time"". A member of The Revuers with"
nm0002728,Juan,José,07/19/1959,Argentina,Buenos Aires,0,0,"Juan José Campanella was born on July 19, 1959 in Buenos Aires, Argentina. He is a writer and director, known for"
nm0005036,Gale,Anne,10/25/1955,USA,California,0,,"Gale Anne Hurd was born on October 25, 1955 in Los Angeles, California. After graduating from Stanford University, she joined New World Pictures as executive assistant to"
nm0178785,Alec,Coppel,09/17/1907,Australia,Victoria,0,,Biography needs more update
nm0001741,Bryan,Singer,09/17/1965,USA,New York,0,0,"Bryan Singer is an American film director and producer who got his start by directing The Usual Suspects. He was hired by 20th Century Fox to direct X-Men, which kick-started the superhero renaissance. He later directed three sequels. He went to direct Superman Returns, a revival of the Superman film series starring Brandon Routh. He also directed Valkyrie, Bohemian Rhapsody and Jack the Giant Slayer."
nm0798788,Scott,Silver,01/01/1970,unknown,unknown,0,,"Scott Silver is a writer, known for"
nm0000175,Stephen,King,09/21/1947,USA,Maine,0,0,"Stephen Edwin King was born on September 21, 1947, at the Maine General Hospital in Portland. His parents were Nellie Ruth (Pillsbury), who worked as a caregiver at a mental institute, and Donald Edwin King, a merchant seaman. His father was born under the surname ""Pollock,"" but used the last name ""King,"" under which Stephen was born. He has an older brother, David. The Kings were a typical family until one night, when Donald said he was stepping out for cigarettes and was never heard from again. Ruth took over raising the family with help from relatives. They traveled throughout many states over several years, finally moving back to Durham, Maine, in 1958."
nm0000341,Michael,Crichton,10/23/1942,USA,Illinois,0,,"Michael Crichton was born in Chicago, Illinois, but grew up in Roslyn, New York. His father was a journalist and encouraged him to write and to type. Michael gave up studying English at Harvard University, having become disillusioned with the teaching standards--the final straw came when he submitted an essay by"
nm1628380,Garon,Tsuchiya,01/01/1970,unknown,unknown,0,,Biography needs more update
nm0001328,Howard,Hawks,05/30/1896,USA,Indiana,0,,What do the classic films
nm1212331,Dennis,Lehane,08/04/1965,USA,Massachusetts,0,0,"Dennis Lehane was born on August 4, 1965 in Dorchester, Massachusetts, USA. He is a producer and writer, known for"
nm0003160,Christopher,McQuarrie,10/25/1968,USA,New Jersey,0,,"Christopher McQuarrie is an acclaimed producer, director and an Academy Award® winning writer. McQuarrie grew up in Princeton Junction, New Jersey and in lieu of college, he spent the first five years out of school traveling and working at a detective agency. He later moved to Los Angeles to pursue a career in film."
nm0690597,Gillo,Pontecorvo,11/19/1919,Italy,Tuscany,0,,"Gillo Pontecorvo was an Italian filmmaker. He is best known for his 1966 masterpiece, The Battle of Algiers, widely viewed as one of the finest films of its genre: realistic though fictionalized documentary. Its portrayal of the Algerian resistance during the Algerian War uses the neorealist style pioneered by fellow Italian film directors de Santis and Rossellini, employing newsreel-style footage and non-professional actors, and focusing primarily on a disenfranchised population that seldom receives attention from the general media. Though very much Italian neorealist in style, Pontecorvo co-produced with an Algerian film company."
nm0946734,David,Yates,10/08/1963,UK,England,0,,"David Yates was born on October 8, 1963 in St. Helens, Merseyside, England. He is a director and producer, known for"
nm0005222,Sam,Mendes,08/01/1965,UK,England,0,,"Samuel Alexander Mendes was born on August 1, 1965 in Reading, England, UK to parents James Peter Mendes, a retired university lecturer, and Valerie Helene Mendes, an author who writes children's books. Their marriage didn't last long, James divorced Sam's mother in 1970 when Sam was just 5-years-old. Sam was educated at Cambridge University and joined the Chichester Festival Theatre following his graduation in 1987. Afterwards, he directed"
nm0001837,Peter,Weir,08/21/1944,Australia,New South Wales,0,,"Peter Weir was born on August 21, 1944 in Sydney, New South Wales, Australia. He is a director and writer, known for"
nm0238898,Daphne,Du,05/13/1907,UK,England,0,,"Daphne Du Maurier was one of the most popular English writers of the 20th Century, when middle-brow genre fiction was accorded a higher level of respect in a more broadly literate age. For her services to literature, she was made a Dame Commander of the Order of the British Empire in 1969, the female equivalent of a knighthood. Thus, she achieved a trifecta of sorts, as her father and her husband were both knights."
nm0802563,Robert,Siodmak,08/08/1900,Germany,Saxony,0,,"The director Robert Siodmak (which he insisted, be pronounced 'See-odd-mack') was a masterful film maker who successfully blended the techniques of German Expressionism with contemporary styles of American film, particularly film noir, in the process creating a handful of moody, sometimes chilling, and always memorable motion pictures. Though born in Memphis, Tennessee, of Jewish parents who visited on business, Siodmak spent his youth in Germany from the age of one. He received his tertiary education from the University of Marburg and briefly tried his hand at acting with local stock companies. When this didn't work out, he joined his father in the bank business, but with rampant inflation and the Great Depression about to hit, this too was a short-lived venture. After losing much of his own money on the stock market, Siodmak managed to get a job writing titles for imported American films and, by 1927, progressed to film cutter."
nm0861636,Roderick,Thorp,09/01/1936,USA,New York,0,0,"Novelist, short-story writer, teacher -- and private detective. He wrote two novels that would be turned into theatrical films, ""The Detective"" (1966), which became"
nm1040556,Jon,Krakauer,04/12/1954,USA,Massachusetts,0,,"Jon Krakauer was born on April 12, 1954 in Brookline, Massachusetts, USA. He is known for his work on"
nm0466099,Alexander,Korda,09/16/1893,Austria-Hungary [now Hungary],Pusztatúrpásztó,0,,"One of a large group of Hungarian refugees who found refuge in England in the 1930s, Sir"
nm0619330,Yuriy,Nagibin,04/03/1920,RSFSR [now Russia],Moscow,0,,Biography needs more update
nm0000416,Terry,Gilliam,11/22/1940,USA,Minnesota,0,0,"Terry Gilliam was born near Medicine Lake, Minnesota. When he was 12 his family moved to Los Angeles where he became a fan of MAD magazine. In his early twenties he was often stopped by the police who suspected him of being a drug addict and Gilliam had to explain that he worked in advertising. In the political turmoil in the 60's, Gilliam feared he would become a terrorist and decided to leave the USA. He moved to England and landed a job on the children's television show"
nm0001814,Gus,Van,07/24/1952,USA,Kentucky,0,0,"Gus Green Van Sant Jr. is an American filmmaker, painter, screenwriter, photographer and musician from Louisville, Kentucky who is known for directing films such as Good Will Hunting, the 1998 remake of Psycho, Gerry, Elephant, My Own Private Idaho, To Die For, Milk, Last Days, Finding Forrester, Promised Land, Drugstore Cowboy and Mala Noche."
nm0001940,Peter,Benchley,05/08/1940,USA,New York,0,0,Grandson of famed humorist and actor
nm2375857,Ron,Chernow,01/01/1970,unknown,unknown,0,,"Ron Chernow is a writer and producer, known for"
nm0486538,Noel,Langley,12/25/1911,South Africa,Durban,0,,"Noel Langley was a South African novelist, playwright, screenwriter, and film director. He became a naturalized citizen of the United States in 1961."
nm0353673,Paul,Haggis,03/10/1953,Canada,Ontario,0,,"Paul Haggis established himself over twenty years with an extensive career in television, before his big break into features arrived when he became the first screenwriter to garner two Best Film Academy Awards back-to-back for his scripts: ""Million Dollar Baby"" (2004) directed by Clint Eastwood, and ""Crash"" (2005) which Paul directed himself."
nm0526199,Kátia,Lund,01/01/1970,Brazil,São Paulo,0,,"Kátia Lund was born in 1966 in São Paulo, São Paulo, Brazil. She is a director and writer, known for"
nm0135296,Jim,Capobianco,01/01/1970,USA,New Jersey,0,,"Jim Capobianco was born in 1969 in Saddle Brook, New Jersey, USA. He is known for his work on"
nm0301826,Bob,Gale,05/25/1951,USA,Missouri,0,,"Bob Gale is an Oscar-nominated screenwriter-producer-director, best known as co-creator, co-writer and co-producer of"
nm6328029,Piyush,Gupta,01/01/1970,unknown,unknown,0,,Piyush Gupta is known for his work on
nm0001351,George,Roy,12/20/1921,USA,Minnesota,0,0,George Roy Hill was never able to 'hit it off' with the critics despite the fact that 2 of his films -
nm0000184,George,Lucas,05/14/1944,USA,California,0,,"George Walton Lucas, Jr. was raised on a walnut ranch in Modesto, California. His father was a stationery store owner and he had three siblings. During his late teen years, he went to Thomas Downey High School and was very much interested in drag racing. He planned to become a professional racecar driver. However, a terrible car accident just after his high school graduation ended that dream permanently. The accident changed his views on life."
nm2937122,Adrian,Molina,01/01/1970,unknown,unknown,0,,Adrian Molina is known for his work on
nm0445669,Jason,Keller,12/12/1968,USA,Indiana,0,,"Jason Keller was born on December 12, 1968 in Indianapolis, Indiana, USA. He is a writer and producer, known for"
nm0742341,Stuart,Rosenberg,08/11/1927,USA,New York,0,,"Stuart Rosenberg was born on August 11, 1927 in Brooklyn, New York City, New York, USA. He was a director and producer, known for"
nm0088645,Robert,Bloch,04/05/1917,USA,Illinois,0,,"Robert Bloch was born on April 5, 1917 in Chicago, Illinois, USA. He is known for his work on"
